epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6460336446762085,0.0010000000474974513,0.6941404342651367,0.5732318162918091,0.7941015362739563
1,0.7163962125778198,0.0010000000474974513,0.6058914661407471,0.6479663252830505,0.6869016885757446
2,0.7646234035491943,0.0010000000474974513,0.5389544367790222,0.5243438482284546,1.8431588411331177
3,0.8287259340286255,0.0010000000474974513,0.4413890242576599,0.7771989703178406,0.5276237726211548
4,0.8662359714508057,0.0010000000474974513,0.37378719449043274,0.859947919845581,0.3919896185398102
5,0.8853665590286255,0.0010000000474974513,0.33735525608062744,0.8657583594322205,0.4015670716762543
6,0.8985376358032227,0.0010000000474974513,0.3145063817501068,0.8793829083442688,0.3577960729598999
7,0.9066506624221802,0.0010000000474974513,0.2994329631328583,0.9108394980430603,0.294413298368454
8,0.9114082455635071,0.0010000000474974513,0.28882917761802673,0.8835904598236084,0.3559316098690033
9,0.9128605723381042,0.0010000000474974513,0.28406205773353577,0.8032458424568176,0.46004340052604675
10,0.9225260615348816,0.0010000000474974513,0.26931264996528625,0.9140452742576599,0.2954544425010681
11,0.9221253991127014,0.0010000000474974513,0.26828208565711975,0.9106391668319702,0.3087536692619324
12,0.9399539232254028,0.0005000000237487257,0.2310822755098343,0.9354838728904724,0.23417440056800842
13,0.9444611668586731,0.0005000000237487257,0.21763882040977478,0.904828667640686,0.3098011612892151
14,0.9436097741127014,0.0005000000237487257,0.21515926718711853,0.9465036988258362,0.20744940638542175
15,0.9450120329856873,0.0005000000237487257,0.21016918122768402,0.9304748773574829,0.23879782855510712
16,0.9485676884651184,0.0005000000237487257,0.2034631073474884,0.9288719892501831,0.23717822134494781
17,0.9480668902397156,0.0005000000237487257,0.20088709890842438,0.9364856481552124,0.22441466152668
18,0.9512720108032227,0.0005000000237487257,0.19545525312423706,0.9246643781661987,0.26273754239082336
19,0.9565805196762085,0.0002500000118743628,0.17771324515342712,0.9493087530136108,0.19872592389583588
20,0.9597856402397156,0.0002500000118743628,0.1706123948097229,0.9493087530136108,0.19211380183696747
21,0.9612880349159241,0.0002500000118743628,0.16504499316215515,0.9372870922088623,0.22375716269016266
22,0.9624899625778198,0.0002500000118743628,0.16185437142848969,0.9551191926002502,0.18384352326393127
23,0.9632912874221802,0.0002500000118743628,0.15722298622131348,0.9414947032928467,0.20600900053977966
24,0.9651442170143127,0.0002500000118743628,0.15296176075935364,0.9491084218025208,0.19592322409152985
